r,rr,trtype,t,Value
p25,p26,AC,2047,269490.681429
p25,p26,AC,2050,269490.681429
p25,p28,AC,2010,112305.87396
p25,p28,AC,2015,112305.87396
p25,p28,AC,2020,112305.87396
p25,p28,AC,2023,112305.87396
p25,p28,AC,2026,112305.87396
p25,p28,AC,2029,112305.87396
p25,p28,AC,2032,112305.87396
p25,p28,AC,2035,112305.87396
p25,p28,AC,2038,112305.87396
p25,p28,AC,2041,112305.87396
p25,p28,AC,2044,112305.87396
p25,p28,AC,2047,112305.87396
p25,p28,AC,2050,112305.87396
p25,p31,AC,2010,370076.928705
p25,p31,AC,2015,370076.928705
p25,p31,AC,2020,370076.928705
p25,p31,AC,2023,370076.928705
p25,p31,AC,2026,370076.928705
p25,p31,AC,2029,370076.928705
p25,p31,AC,2032,370076.928705
p25,p31,AC,2035,370076.928705
p25,p31,AC,2038,370076.928705
p25,p31,AC,2041,370076.928705
p25,p31,AC,2044,370076.928705
p25,p31,AC,2047,370076.928705
